user_id,condition,mental_demand,physical_demand,temporal_demand,frustration,effort,performance,confidence,evidence_findability,step_pinpointing,actionable_recommendations,divergence_understanding,comparison_efficiency,usage_order,source,is_condition_a,reduced_condition,performance_rev,nasa_workload_5d,less_manual_log_search,reasoning_panel_helpful,role,years_experience,llm_knowledge,agent_experience,debug_audit_frequency,agent_concepts
2,Condition B,7,3,3,1,7,1,6,3,5,5.0,1.0,1.0,1,dag,False,Condition B,10,5.166666666666667,,,"AI Researcher, Incoming PHD Student",1-3 years,3(Quite Familiar),2(A little),4(Weekly),"Evaluation Benchmarks (e.g., GAIA, SWE-bench)"
2,Condition A,6,4,2,1,6,7,5,5,5,2.0,1.0,4.0,2,dag,True,,4,3.8333333333333335,,,"AI Researcher, Incoming PHD Student",1-3 years,3(Quite Familiar),2(A little),4(Weekly),"Evaluation Benchmarks (e.g., GAIA, SWE-bench)"
4,Condition A,2,2,3,1,1,6,8,6,8,8.0,9.0,9.0,1,dag,True,,5,2.3333333333333335,,,PhD Student,1-3 years,4(Know a lot),4(A lot),5(Daily),"Chain-of-Thought (CoT) Reasoning,ReAct (Reason + Act) patterns,Evaluation Benchmarks (e.g., GAIA, SWE-bench)"
4,Condition B,1,1,1,1,1,8,7,7,7,7.0,7.0,7.0,2,dag,False,Condition B,3,1.3333333333333333,,,PhD Student,1-3 years,4(Know a lot),4(A lot),5(Daily),"Chain-of-Thought (CoT) Reasoning,ReAct (Reason + Act) patterns,Evaluation Benchmarks (e.g., GAIA, SWE-bench)"
6,Condition B,6,1,5,1,2,2,3,7,2,7.0,1.0,7.0,1,dag,False,Condition B,9,4.0,,,Student in BS in Artificial Intelligence and Machine Learning.,less than 1 year,3(Quite Familiar),3(Quite familiar),2(Sometimes),"Evaluation Benchmarks (e.g., GAIA, SWE-bench)"
6,Condition A,2,1,5,1,2,5,5,5,4,5.0,5.0,7.0,2,dag,True,,6,2.8333333333333335,,,Student in BS in Artificial Intelligence and Machine Learning.,less than 1 year,3(Quite Familiar),3(Quite familiar),2(Sometimes),"Evaluation Benchmarks (e.g., GAIA, SWE-bench)"
8,Condition B,8,1,2,1,1,9,9,5,3,7.0,3.0,4.0,1,dag,False,Condition B,2,2.5,,,MS Student,3-5 years,3(Quite Familiar),2(A little),1(Rarely),"Chain-of-Thought (CoT) Reasoning,ReAct (Reason + Act) patterns,Multi-agent Orchestration"
8,Condition A,5,1,1,1,5,9,9,5,4,8.0,6.0,4.0,2,dag,True,,2,2.5,,,MS Student,3-5 years,3(Quite Familiar),2(A little),1(Rarely),"Chain-of-Thought (CoT) Reasoning,ReAct (Reason + Act) patterns,Multi-agent Orchestration"
10,Condition A,5,2,5,2,4,8,8,9,9,7.0,9.0,9.0,1,dag,True,,3,3.5,,,Undergraduate student,1-3 years,3(Quite Familiar),2(A little),2(Sometimes),"Chain-of-Thought (CoT) Reasoning,Multi-agent Orchestration,Evaluation Benchmarks (e.g., GAIA, SWE-bench)"
10,Condition B,3,2,3,1,4,9,9,10,9,7.0,6.0,8.0,2,dag,False,Condition B,2,2.5,,,Undergraduate student,1-3 years,3(Quite Familiar),2(A little),2(Sometimes),"Chain-of-Thought (CoT) Reasoning,Multi-agent Orchestration,Evaluation Benchmarks (e.g., GAIA, SWE-bench)"
