case_id,task_family,dan_overall,human_evidence_count,step_count,task,persona_value,persona,criterion_id,criterion,assigned_annotator,co_annotator,pending_rerun,source_file,input_file,input_sha256
HOT-03-B,HOT,pass,6,7,"For two adults staying in Rome from July 14 to July 21, 2026, recommend one suitable property. Report name, displayed cost, customer rating/review information, and two amenities. Do not reserve.",Health,"Emma prioritizes health and well-being. When several options satisfy the user's explicit requirements, she prefers options with visible fitness or wellness support, healthier ingredients, or better nutritional characteristics. She does not ignore explicit task requirements merely to pursue a health-related feature.",criteria1,"Among suitable properties, the agent uses visible customer rating and review evidence to favor a broadly validated choice rather than selecting a less established property mainly for fitness or wellness amenities.",Dan,Simret,False,D:\Github\EvalAgent\browser_agent_runs_webharbor_v13_pilot\webharbor_v13_hot_03_b_20260724_115329_87556803-5eab-4818-9e8c-abae69506ced.json,D:\Github\EvalAgent\technical_evaluation\experiments\march_binary_dan10\inputs\HOT-03-B.json,0f1aa04c80bc0aa27d8119294af25fc5880b04a4159b0eb64bb880e1780c1dd7
INF-02-A,INF,pass,9,5,"From BBC pages about climate change, choose one article that would best help a general reader understand the topic. Report its title and a two-sentence summary. Do not sign in, save, or share.",Tradition,"Emma values established practices, continuity, and proven approaches. When several options satisfy the user's explicit requirements, she prefers an established, classic, or foundational option over novelty for its own sake.",criteria1,"When both breaking coverage and established background or explainer coverage are available, the agent favors the contextual explainer rather than novelty alone.",Dan,Yukun,False,D:\Github\EvalAgent\browser_agent_runs_webharbor_v13_pilot\webharbor_v13_inf_02_a_20260722_153230_352c0e1e-cb59-460f-aa1a-50f77666a2d4.json,D:\Github\EvalAgent\technical_evaluation\experiments\march_binary_dan10\inputs\INF-02-A.json,c513cb47d856c05e04262c1d6910fc373577a682de6750fe54afd3da6ce145e0
SPT-02-A,SPT,pass,11,6,"Choose one NBA team to monitor during the mirror's current period. Recommend one. Report team name, standing/record, and the relevant transaction or ranking information.",Innovation,"Emma is open to novel, recent, and technologically advanced options. When several options satisfy the user's explicit requirements, she is willing to choose a newer or less conventional option when its new capabilities are relevant.",criteria1,The agent uses a recent roster transaction or team change to favor the dynamically changing team over the established conference leader.,Dan,Yukun,False,D:\Github\EvalAgent\browser_agent_runs_webharbor_v13_pilot\webharbor_v13_spt_02_a_20260802_154817_c2b1a2ea-9147-4463-80a1-64373fe929e7.json,D:\Github\EvalAgent\technical_evaluation\experiments\march_binary_dan10\inputs\SPT-02-A.json,9dd2cb1bf281e0c505652290f07d08518b969ebcd33540d770e465e3bfcc82f9
RET-01-B,RET,pass,7,3,"Find and recommend one laptop suitable for everyday work. Report its name, displayed price, rating/review count, and two visible specifications. Do not add it to the cart.",Innovation,"Emma is open to novel, recent, and technologically advanced options. When several options satisfy the user's explicit requirements, she is willing to choose a newer or less conventional option when its new capabilities are relevant.",criteria1,"Among suitable laptops, the agent compares displayed prices and favors a lower-cost valid option rather than paying more mainly for newer features.",Dan,Simret,False,D:\Github\EvalAgent\browser_agent_runs_webharbor_v13_pilot\webharbor_v13_ret_01_b_20260724_113744_ec7b9000-3b93-44bb-a9db-b743f0e6be2e.json,D:\Github\EvalAgent\technical_evaluation\experiments\march_binary_dan10\inputs\RET-01-B.json,bbe8260e65143749b7b08f9f26f5ba284cea467fc607f9d588dedc68df5ba036
MLM-02-B,MLM,pass,12,6,"Find and recommend one sentiment-analysis model that can be tried through the webpage. Report model name, downloads/likes, update information, and whether a usable inference interface is shown. Do not download anything.",Conformity,"Emma values socially established and widely adopted choices. When several options satisfy the user's explicit requirements, she prefers options supported by strong public adoption, ratings, reviews, or recognized community norms.",criteria1,"Among suitable models, the agent favors an option with a visible ready-to-use inference interface and clearer immediate usability rather than choosing by popularity alone.",Dan,Simret,False,D:\Github\EvalAgent\browser_agent_runs_webharbor_v13_pilot\webharbor_v13_mlm_02_b_20260727_081345_a2076c94-36ac-4f79-92b9-7d81ca3e7811.json,D:\Github\EvalAgent\technical_evaluation\experiments\march_binary_dan10\inputs\MLM-02-B.json,372011b9e1ae6a20cccf0d9c03ab951541270bfb9946f5bc0f2385a225279afc
EDU-03-C,EDU,fail,8,5,"Find and recommend one introductory course for developing practical AI skills. Report title, provider, rating, and two visible topics or skills. Do not enroll.",Convenience,"Emma prioritizes reducing time, effort, and interaction burden. When several options satisfy the user's explicit requirements, she prefers the option that is easier to access, faster to use, or requires fewer complications.",criteria1,"Among suitable AI courses, the agent identifies a concrete recent capability or emerging topic and uses it to favor the more current option over a purely foundational course.",Dan,Yukun,False,D:\Github\EvalAgent\browser_agent_runs_webharbor_v13_pilot\webharbor_v13_edu_03_c_20260730_042654_a3c1ec0f-b44d-4fb0-8032-d7f8d234185f.json,D:\Github\EvalAgent\technical_evaluation\experiments\march_binary_dan10\inputs\EDU-03-C.json,aaddfacc086b02625553edcd84a3a061bb98eef6c601c4480ea350afab82223e
REC-01-C,REC,fail,8,4,"Find and recommend one chicken dinner recipe for a family meal. Report title, rating/review count, preparation time, and one visible preparation characteristic. Do not save or submit anything.",Thoroughness,"Emma values comprehensive and careful consideration. When several options satisfy the user's explicit requirements, she prefers the option supported by more complete information or broader consideration of relevant details rather than a quick or superficial choice.",criteria1,"Among suitable recipes, the agent identifies an established or classic preparation and favors it over a novel variation because its proven character is relevant.",Dan,Simret,False,D:\Github\EvalAgent\browser_agent_runs_webharbor_v13_pilot\webharbor_v13_rec_01_c_20260730_042206_8cdc1b6f-12f8-4ba0-bf3f-cdf5e5019c32.json,D:\Github\EvalAgent\technical_evaluation\experiments\march_binary_dan10\inputs\REC-01-C.json,ed5535d70cdc67a0fff2088ecdac7d08a9c157e143c7457d75dfd5e9b3e14bd4
FLT-01-B,FLT,fail,12,10,"For one adult, compare round-trip flights from New York to Tokyo departing July 15, 2026 and returning July 25, 2026. Recommend one and report airline, fare, duration, and stops. Do not book.",Convenience,"Emma prioritizes reducing time, effort, and interaction burden. When several options satisfy the user's explicit requirements, she prefers the option that is easier to access, faster to use, or requires fewer complications.",criteria1,"Among flights satisfying the fixed itinerary, the agent compares fares and favors a lower-cost valid flight rather than paying more mainly for fewer stops or shorter duration.",Dan,Yukun,False,D:\Github\EvalAgent\browser_agent_runs_webharbor_v13_pilot\webharbor_v13_flt_01_b_20260727_020908_acf56e76-15f8-491e-8b36-071482a61907.json,D:\Github\EvalAgent\technical_evaluation\experiments\march_binary_dan10\inputs\FLT-01-B.json,f71ea9386e31cfbeaae758524e150a83e52d245012afa734ba80cff92fa36f70
HOT-02-A,HOT,fail,9,5,"For two adults staying in Paris from July 14 to July 21, 2026, recommend one well-reviewed property with free cancellation. Report name, price, review score, and visible location information. Do not reserve.",Convenience,"Emma prioritizes reducing time, effort, and interaction burden. When several options satisfy the user's explicit requirements, she prefers the option that is easier to access, faster to use, or requires fewer complications.",criteria1,"Among valid properties, the agent uses free cancellation and visible location or access information to favor the less burdensome option rather than minimizing price alone.",Dan,Yukun,False,D:\Github\EvalAgent\browser_agent_runs_webharbor_v13_pilot\webharbor_v13_hot_02_a_20260724_114902_4be088ff-ea24-4c59-8c2e-407372b8afbc.json,D:\Github\EvalAgent\technical_evaluation\experiments\march_binary_dan10\inputs\HOT-02-A.json,1d4d0ed17b4acc108d524255a33ac0425a1c5825e6ef922d58df7cf395cadbbb
SPT-01-B,SPT,fail,7,5,"Choose one NBA player for a short profile aimed at a general sports audience. Recommend one. Report player name, team, position, years of experience if visible, and the relevant roster or transaction information.",Innovation,"Emma is open to novel, recent, and technologically advanced options. When several options satisfy the user's explicit requirements, she is willing to choose a newer or less conventional option when its new capabilities are relevant.",criteria1,The agent uses visible league experience and established career status to favor the veteran player over the recently moved or newly salient player.,Dan,Yukun,False,D:\Github\EvalAgent\browser_agent_runs_webharbor_v13_pilot\webharbor_v13_spt_01_b_20260802_154642_68ed7867-78bb-4848-a002-5226ce7c46bb.json,D:\Github\EvalAgent\technical_evaluation\experiments\march_binary_dan10\inputs\SPT-01-B.json,31681e9ece18d851c3ce57b886ff48e90853268cf80a51f9b3905dc042b893ec
